candidate_id,human_class_completeness,human_class_correctness,s1_completeness,s1_correctness,s2_completeness,s2_correctness,s3_completeness,s3_correctness,s4_completeness,s4_correctness,s5_completeness,s5_correctness,s6_completeness,s6_correctness
1,0.8,1,0.7,0.75,0.8,0.9,0.67,1,0.8,1,0.8,1,0.8,1
2,1,1,1,1,1,1,1,1,1,1,1,0.833,1,0.833
3,0.9,1,0.9,0.9,0.8,1,0.82,1,0.82,1,0.818,0.889,0.818,0.889
4,0.83,1,0.83,1,0.71,1,0.71,1,0.83,1,0.833,0.8,0.833,0.8
5,1,1,1,1,1,1,1,1,0.86,1,0.86,1,0.857,1
6,1,1,1,1,1,0.9,1,0.9,1,1,1,0.9,1,0.9
7,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875
8,0.89,0.87,1,1,0.89,0.71,0.875,1,0.89,0.75,0.889,0.75,0.89,0.75
9,0.875,1,1,1,1,1,1,1,0.875,1,0.875,1,0.875,0.857
10,0.73,1,1,1,1,1,1,1,0.73,1,0.733,1,0.733,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0.44,1,1,1,1,1,1,1,0.44,1,0.444,0.667,0.44,0.5
13,1,1,1,1,1,1,1,1,1,1,1,0.9,1,0.8
